UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
1,Bagalkot PS 1,1,,1,1,1,1
2,Bagalkot PS 2,1,,1,1,1,1
3,Bagalkot PS 3,1,,1,1,1,1
4,Bagalkot PS 4,1,,1,1,1,1
5,Bagalkot PS 5,1,,1,1,1,1
6,Bagalkot PS 6,1,,1,1,1,1
7,Bagalkot PS 7,1,,1,1,1,1
8,Bagalkot PS 8,1,,1,1,1,1
9,Bagalkot PS 9,1,,1,1,1,1
10,Bagalkot PS 10,1,,1,1,1,1
11,Bagalkot PS 11,1,,1,1,1,1
12,Bagalkot PS 12,1,,1,1,1,1
13,Bagalkot PS 13,1,,1,1,1,1
14,Bagalkot PS 14,1,,1,1,1,1
15,Bagalkot PS 15,1,,1,1,1,1
16,Bagalkot PS 16,1,,1,1,1,1
17,Bagalkot PS 17,1,,1,1,1,1
18,Bagalkot PS 18,1,,1,1,1,1
19,Bagalkot PS 19,1,,1,1,1,1
20,Bagalkot PS 20,1,,1,1,1,1
21,Bagalkot PS 21,1,,1,1,1,1
22,Bagalkot PS 22,1,,1,1,1,1
23,Bagalkot PS 23,1,,1,1,1,1
24,Bagalkot PS 24,1,,1,1,1,1
25,Bagalkot PS 25,1,,1,1,1,1
26,Bagalkot PS 26,1,,1,1,1,1
27,Bagalkot PS 27,1,,1,1,1,1
28,Bagalkot PS 28,1,,1,1,1,1
29,Bagalkot PS 29,1,,1,1,1,1
30,Ballari PS 1,1,,1,1,2,1
31,Ballari PS 2,1,,1,1,2,1
32,Ballari PS 3,1,,1,1,2,1
33,Ballari PS 4,1,,1,1,2,1
34,Ballari PS 5,1,,1,1,2,1
35,Ballari PS 6,1,,1,1,2,1
36,Ballari PS 7,1,,1,1,2,1
37,Ballari PS 8,1,,1,1,2,1
38,Ballari PS 9,1,,1,1,2,1
39,Ballari PS 10,1,,1,1,2,1
40,Ballari PS 11,1,,1,1,2,1
41,Ballari PS 12,1,,1,1,2,1
42,Ballari PS 13,1,,1,1,2,1
43,Ballari PS 14,1,,1,1,2,1
44,Ballari PS 15,1,,1,1,2,1
45,Ballari PS 16,1,,1,1,2,1
46,Ballari PS 17,1,,1,1,2,1
47,Ballari PS 18,1,,1,1,2,1
48,Ballari PS 19,1,,1,1,2,1
49,Ballari PS 20,1,,1,1,2,1
50,Ballari PS 21,1,,1,1,2,1
51,Ballari PS 22,1,,1,1,2,1
52,Ballari PS 23,1,,1,1,2,1
53,Ballari PS 24,1,,1,1,2,1
54,Ballari PS 25,1,,1,1,2,1
55,Ballari PS 26,1,,1,1,2,1
56,Ballari PS 27,1,,1,1,2,1
57,Ballari PS 28,1,,1,1,2,1
58,Ballari PS 29,1,,1,1,2,1
59,Ballari PS 30,1,,1,1,2,1
60,Ballari PS 31,1,,1,1,2,1
61,Ballari PS 32,1,,1,1,2,1
62,Ballari PS 33,1,,1,1,2,1
63,Ballari PS 34,1,,1,1,2,1
64,Ballari PS 35,1,,1,1,2,1
65,Ballari PS 36,1,,1,1,2,1
66,Ballari PS 37,1,,1,1,2,1
67,Ballari PS 38,1,,1,1,2,1
68,Ballari PS 39,1,,1,1,2,1
69,Ballari PS 40,1,,1,1,2,1
70,Ballari PS 41,1,,1,1,2,1
71,Ballari PS 42,1,,1,1,2,1
72,Ballari PS 43,1,,1,1,2,1
73,Ballari PS 44,1,,1,1,2,1
74,Ballari PS 45,1,,1,1,2,1
75,Ballari PS 46,1,,1,1,2,1
76,Ballari PS 47,1,,1,1,2,1
77,Ballari PS 48,1,,1,1,2,1
78,Ballari PS 49,1,,1,1,2,1
79,Ballari PS 50,1,,1,1,2,1
80,Ballari PS 51,1,,1,1,2,1
81,Ballari PS 52,1,,1,1,2,1
82,Ballari PS 53,1,,1,1,2,1
83,Ballari PS 54,1,,1,1,2,1
84,Ballari PS 55,1,,1,1,2,1
85,Ballari PS 56,1,,1,1,2,1
86,Ballari PS 57,1,,1,1,2,1
87,Belagavi PS 1,1,,1,1,3,1
88,Belagavi PS 2,1,,1,1,3,1
89,Belagavi PS 3,1,,1,1,3,1
90,Belagavi PS 4,1,,1,1,3,1
91,Belagavi PS 5,1,,1,1,3,1
92,Belagavi PS 6,1,,1,1,3,1
93,Belagavi PS 7,1,,1,1,3,1
94,Belagavi PS 8,1,,1,1,3,1
95,Belagavi PS 9,1,,1,1,3,1
96,Belagavi PS 10,1,,1,1,3,1
97,Belagavi PS 11,1,,1,1,3,1
98,Belagavi PS 12,1,,1,1,3,1
99,Belagavi PS 13,1,,1,1,3,1
100,Belagavi PS 14,1,,1,1,3,1
101,Belagavi PS 15,1,,1,1,3,1
102,Belagavi PS 16,1,,1,1,3,1
103,Belagavi PS 17,1,,1,1,3,1
104,Belagavi PS 18,1,,1,1,3,1
105,Belagavi PS 19,1,,1,1,3,1
106,Belagavi PS 20,1,,1,1,3,1
107,Belagavi PS 21,1,,1,1,3,1
108,Belagavi PS 22,1,,1,1,3,1
109,Belagavi PS 23,1,,1,1,3,1
110,Belagavi PS 24,1,,1,1,3,1
111,Belagavi PS 25,1,,1,1,3,1
112,Belagavi PS 26,1,,1,1,3,1
113,Belagavi PS 27,1,,1,1,3,1
114,Belagavi PS 28,1,,1,1,3,1
115,Belagavi PS 29,1,,1,1,3,1
116,Belagavi PS 30,1,,1,1,3,1
117,Belagavi PS 31,1,,1,1,3,1
118,Belagavi PS 32,1,,1,1,3,1
119,Belagavi PS 33,1,,1,1,3,1
120,Belagavi PS 34,1,,1,1,3,1
121,Belagavi PS 35,1,,1,1,3,1
